START_DATETIME_UTC,IMBALANCE_LONG_EUR_MWH,IMBALANCE_SHORT_EUR_MWH
2025-05-04 22:00:00.000 Z,36.76,36.76
2025-05-04 22:15:00.000 Z,28.58,28.58
2025-05-04 22:30:00.000 Z,28.58,28.58
2025-05-04 22:45:00.000 Z,34.68,34.68
2025-05-04 23:00:00.000 Z,34.58,34.58
2025-05-04 23:15:00.000 Z,50.08,50.08
2025-05-04 23:30:00.000 Z,66,66
2025-05-04 23:45:00.000 Z,72.98,72.98
2025-05-05 00:00:00.000 Z,65.5,84
2025-05-05 00:15:00.000 Z,84,84
2025-05-05 00:30:00.000 Z,78.56,78.56
2025-05-05 00:45:00.000 Z,78.56,78.56
2025-05-05 01:00:00.000 Z,84,84
2025-05-05 01:15:00.000 Z,71,71
2025-05-05 01:30:00.000 Z,72.98,72.98
2025-05-05 01:45:00.000 Z,60.21,60.21
2025-05-05 02:00:00.000 Z,69.88,69.88
2025-05-05 02:15:00.000 Z,66.75,66.75
2025-05-05 02:30:00.000 Z,56.04,56.04
2025-05-05 02:45:00.000 Z,64.1,64.1
2025-05-05 03:00:00.000 Z,57.08,78.56
2025-05-05 03:15:00.000 Z,85.9,85.9
2025-05-05 03:30:00.000 Z,90.98,90.98
2025-05-05 03:45:00.000 Z,112.98,112.98
2025-05-05 04:00:00.000 Z,150.34,150.34
2025-05-05 04:15:00.000 Z,150.6,150.6
2025-05-05 04:30:00.000 Z,86.56,86.56
2025-05-05 04:45:00.000 Z,84.23,84.23
2025-05-05 05:00:00.000 Z,69.98,69.98
2025-05-05 05:15:00.000 Z,68.98,68.98
2025-05-05 05:30:00.000 Z,65.9,65.9
2025-05-05 05:45:00.000 Z,14.98,14.98
2025-05-05 06:00:00.000 Z,10,10
2025-05-05 06:15:00.000 Z,3.98,3.98
2025-05-05 06:30:00.000 Z,-34,-34
2025-05-05 06:45:00.000 Z,-50,-50
2025-05-05 07:00:00.000 Z,-70,-70
2025-05-05 07:15:00.000 Z,-60,-60
2025-05-05 07:30:00.000 Z,-40,-40
2025-05-05 07:45:00.000 Z,-18.5,-18.5
2025-05-05 08:00:00.000 Z,-16.35,86.36
2025-05-05 08:15:00.000 Z,10,10
2025-05-05 08:30:00.000 Z,16.98,16.98
2025-05-05 08:45:00.000 Z,10,10
2025-05-05 09:00:00.000 Z,-20.13,-20.13
2025-05-05 09:15:00.000 Z,-30,-30
2025-05-05 09:30:00.000 Z,8.98,8.98
2025-05-05 09:45:00.000 Z,-29.7,-29.7
2025-05-05 10:00:00.000 Z,-29.26,-29.26
2025-05-05 10:15:00.000 Z,64.98,64.98
2025-05-05 10:30:00.000 Z,22.98,22.98
2025-05-05 10:45:00.000 Z,11,11
2025-05-05 11:00:00.000 Z,16.98,42.29
2025-05-05 11:15:00.000 Z,42.29,81.77
2025-05-05 11:30:00.000 Z,42.29,78.56
2025-05-05 11:45:00.000 Z,-21.57,-21.57
2025-05-05 12:00:00.000 Z,-50,-50
2025-05-05 12:15:00.000 Z,-100,-100
2025-05-05 12:30:00.000 Z,-60,-60
2025-05-05 12:45:00.000 Z,-69,-69
2025-05-05 13:00:00.000 Z,58.56,58.56
2025-05-05 13:15:00.000 Z,-59.6,58.6
2025-05-05 13:30:00.000 Z,-20,-20
2025-05-05 13:45:00.000 Z,-14.14,-14.14
2025-05-05 14:00:00.000 Z,-50,-50
2025-05-05 14:15:00.000 Z,-70,-70
2025-05-05 14:30:00.000 Z,22.98,22.98
2025-05-05 14:45:00.000 Z,-15.01,-15.01
2025-05-05 15:00:00.000 Z,-11.4,-11.4
2025-05-05 15:15:00.000 Z,0,40.79
2025-05-05 15:30:00.000 Z,-11.4,68.56
2025-05-05 15:45:00.000 Z,-11.09,-11.09
2025-05-05 16:00:00.000 Z,40.79,68.56
2025-05-05 16:15:00.000 Z,36.98,40.79
2025-05-05 16:30:00.000 Z,40.79,84
2025-05-05 16:45:00.000 Z,78.56,78.56
2025-05-05 17:00:00.000 Z,-30,-30
2025-05-05 17:15:00.000 Z,46.5,46.5
2025-05-05 17:30:00.000 Z,114.98,114.98
2025-05-05 17:45:00.000 Z,125.98,125.98
2025-05-05 18:00:00.000 Z,51.58,66
2025-05-05 18:15:00.000 Z,66,78.56
2025-05-05 18:30:00.000 Z,78.56,78.56
2025-05-05 18:45:00.000 Z,88,88
2025-05-05 19:00:00.000 Z,73.08,73.08
2025-05-05 19:15:00.000 Z,66,78.56
2025-05-05 19:30:00.000 Z,84,84
2025-05-05 19:45:00.000 Z,66.45,66.45
2025-05-05 20:00:00.000 Z,70.1,70.1
2025-05-05 20:15:00.000 Z,66,78.56
2025-05-05 20:30:00.000 Z,84,84
2025-05-05 20:45:00.000 Z,111.61,111.61
2025-05-05 21:00:00.000 Z,100,100
2025-05-05 21:15:00.000 Z,66,78.56
2025-05-05 21:30:00.000 Z,64,64
